"","ix","learningTaskId","order","date","time","instructions_duration","task_duration","age","sex","engagement","difficulty","feedback"
"1",14,"learn04","near-first","2019_11_27","11_27_41",295230,370915,58,"male","9","10",""
"2",15,"learn04","near-first","2019_11_27","11_57_39",155738,267811,48,"female","10","5","NONE"
"3",16,"learn05","near-first","2019_11_27","11_14_10",125676,183647,39,"female","10","5","thank you"
"4",19,"learn05","near-first","2019_11_27","09_43_09",164831,281656,31,"female","8","2","This was fun, thank you!"
"5",20,"learn01","near-first","2019_11_27","12_56_49",217151,575022,34,"female","10","5",""
"6",21,"learn03","near-first","2019_11_27","16_25_32",212839,221218,34,"female","10","3","This was a lot of fun and I really enjoyed doing this :)"
"7",22,"learn03","near-first","2019_11_28","09_05_06",209101,236962,49,"female","7","4",""
"8",23,"learn05","near-first","2019_11_28","09_05_19",241614,236165,56,"male","9","3",""
"9",25,"learn02","near-first","2019_11_28","09_12_56",156494,289114,41,"male","8","9",""
"10",27,"learn05","near-first","2019_11_28","06_58_43",201151,420000,28,"male","5","6","good"
"11",28,"learn03","near-first","2019_11_28","10_42_23",151311,217714,37,"female","7","3",""
"12",29,"learn03","near-first","2019_11_28","10_27_45",492431,363592,55,"male","10","4","none"
"13",30,"learn02","near-first","2019_11_28","16_03_05",111666,544623,48,"female","10","10","I'd love to actually know the rules! I'm so curious!"
"14",31,"learn04","near-first","2019_11_29","04_51_49",273025,326881,48,"male","7","6",""
"15",32,"learn03","near-first","2019_11_29","04_54_25",229597,324089,40,"female","10","7","Its an interesting and fun task."
"16",33,"learn03","near-first","2019_11_29","05_05_08",1125965,350896,30,"male","10","0","Nice Experiment "
"17",34,"learn05","near-first","2019_11_29","07_21_45",177653,346341,57,"female","8","9","no"
"18",36,"learn04","near-first","2019_11_29","12_55_30",189771,157104,43,"male","7","3","Thank you"
"19",38,"learn04","near-first","2019_11_29","12_60_44",60609,238841,28,"male","10","5","This was a highly interesting and engaging experiment."
"20",39,"learn04","near-first","2019_11_29","12_60_56",153043,300207,45,"male","10","8","no problems"
"21",41,"learn05","near-first","2019_11_29","10_15_16",74462,256502,38,"female","10","0","Its an interesting and fun game study."
"22",42,"learn02","near-first","2019_11_29","11_25_12",174921,219871,28,"female","7","5","Nice"
"23",44,"learn01","near-first","2019_11_29","16_45_34",95886,253070,24,"male","8","0",""
"24",45,"learn02","near-first","2019_11_29","16_06_21",101022,316511,52,"female","10","5",""
"25",46,"learn02","near-first","2019_11_29","17_10_17",240946,405318,38,"male","10","5","No."
"26",51,"learn01","near-first","2019_11_31","15_40_13",159729,218973,58,"male","10","4",""
"27",52,"learn01","near-first","2019_11_31","13_57_43",238629,289513,64,"female","10","1","Thank you"
"28",91,"learn04","near-first","2020_01_07","11_40_60",245027,244538,27,"male","9","6",""
"29",68,"learn05","near-first","2020_01_06","05_26_01",213143,356969,50,"male","8","1",""
"30",69,"learn03","near-first","2020_01_06","07_27_32",199397,297096,32,"male","8","0","Not at this time"
"31",70,"learn04","near-first","2020_01_06","06_38_07",148752,190384,58,"female","5","2",""
"32",71,"learn01","near-first","2020_01_06","05_39_29",101879,185507,39,"male","10","3",""
"33",72,"learn04","near-first","2020_01_06","05_44_02",129474,248145,48,"male","10","0",""
"34",74,"learn03","near-first","2020_01_06","08_46_52",12090,139014,38,"male","10","0",""
"35",75,"learn04","near-first","2020_01_06","07_47_11",85226,220116,35,"female","7","2","No comment"
"36",76,"learn03","near-first","2020_01_06","08_54_43",1207744,605854,67,"female","10","10","I had a hard time trying to figure out which one to choose. I guess that was the point of the survey is to see if I could figure how in what way the stone would be changed."
"37",77,"learn05","near-first","2020_01_06","09_14_28",61218,151167,30,"male","10","2",""
"38",79,"learn02","near-first","2020_01_06","10_46_42",94663,132406,31,"female","5","9",""
"39",80,"learn01","near-first","2020_01_06","10_12_21",276262,332699,66,"male","6","5",""
"40",82,"learn03","near-first","2020_01_06","15_06_25",125129,200696,41,"male","7","2","no"
"41",84,"learn01","near-first","2020_01_06","18_28_04",242519,390262,44,"female","8","8","None"
"42",85,"learn03","near-first","2020_01_06","21_51_30",898251,176571,30,"male","10","5",""
"43",86,"learn04","near-first","2020_01_07","12_50_60",97068,186576,52,"male","10","5","no"
"44",87,"learn02","near-first","2020_01_07","13_54_58",169935,160308,35,"male","9","8","none"
"45",88,"learn02","near-first","2020_01_07","10_55_03",48401,290338,32,"male","7","10",""
"46",89,"learn02","near-first","2020_01_07","13_56_15",374414,392385,58,"male","8","10",""
"47",90,"learn05","near-first","2020_01_07","11_18_49",280646,387821,49,"female","10","0","no"
"48",92,"learn01","near-first","2020_01_07","14_58_34",20569,244848,32,"female","10","1","This was fun, thank you. "
"49",93,"learn04","near-first","2020_01_07","16_07_53",134505,236797,28,"male","6","10",""
"50",94,"learn05","near-first","2020_01_07","17_03_48",298903,400798,32,"female","10","2","fun and easy task"
"51",96,"learn06","near-first","2020_01_08","08_44_01",103200,246820,38,"female","8","2",""
"52",97,"learn06","near-first","2020_01_08","07_43_51",118100,373019,34,"female","5","4","none"
"53",98,"learn06","near-first","2020_01_08","07_44_09",264872,402143,46,"male","9","5","none"
"54",99,"learn06","near-first","2020_01_08","07_47_31",140862,248609,34,"female","3","10","It is way to vague and hard"
"55",100,"learn06","near-first","2020_01_08","08_51_36",57355,189366,29,"male","10","5",""
"56",101,"learn06","near-first","2020_01_08","09_23_01",61132,219789,23,"female","9","8","na"
"57",102,"learn06","near-first","2020_01_08","11_17_51",275328,515058,27,"male","8","6","Everything worked fine, was a little difficult to predict but I guess that is why it is a prediction game."
"58",103,"learn06","near-first","2020_01_08","14_06_17",118898,1327495,29,"male","7","2",""
"59",104,"learn06","near-first","2020_01_08","13_25_55",159344,196210,26,"female","9","7",""
"60",107,"learn03","far-first","2020_01_10","11_59_34",74002,216728,43,"female","7","1","Watching the demonstration every time was getting very irritating. "
"61",109,"learn05","far-first","2020_01_10","11_02_23",163067,239686,28,"male","10","0","Nice Task and thanks for the opportunity"
"62",111,"learn02","far-first","2020_01_10","22_34_51",129213,437620,28,"female","10","2","none"
"63",112,"learn03","far-first","2020_01_10","22_35_12",277923,246700,53,"female","7","6",""
"64",113,"learn04","far-first","2020_01_10","12_06_36",251519,460546,38,"female","8","6","No comment"
"65",114,"learn06","far-first","2020_01_10","12_11_28",39630,205225,29,"male","5","2","I hope I was right."
"66",116,"learn05","far-first","2020_01_10","09_14_16",366217,362151,46,"female","9","7",""
"67",118,"learn05","far-first","2020_01_10","12_26_06",97480,239100,32,"female","10","10",""
"68",119,"learn03","far-first","2020_01_10","12_30_48",260109,1086840,29,"male","7","3","No comments"
"69",120,"learn06","far-first","2020_01_10","13_07_44",355946,305224,47,"female","9","10","It was cool"
"70",121,"learn03","far-first","2020_01_10","11_09_47",233708,556900,56,"male","5","6","none"
"71",122,"learn06","far-first","2020_01_10","14_29_26",250165,658548,33,"female","10","0","Thank you!"
"72",123,"learn05","far-first","2020_01_10","14_41_31",306208,369959,61,"male","3","2",""
"73",124,"learn02","far-first","2020_01_10","14_43_45",71159,182774,38,"male","5","2","no comments"
"74",125,"learn02","far-first","2020_01_10","08_13_18",155923,268253,30,"male","10","2","good"
"75",126,"learn05","far-first","2020_01_10","15_17_13",218086,220743,60,"female","9","9","I don't"
"76",127,"learn06","far-first","2020_01_10","12_43_57",197640,259975,39,"female","9","8","thank you"
"77",128,"learn06","far-first","2020_01_10","16_54_36",56135,180239,23,"female","2","7",""
"78",130,"learn01","far-first","2020_01_10","16_29_51",114349,195453,42,"female","5","2","no comments"
"79",131,"learn01","far-first","2020_01_10","18_01_40",123528,196655,36,"male","8","5",""
"80",133,"learn06","far-first","2020_01_10","20_15_06",79059,186924,44,"male","9","8","It was tricky to predict!  I did my best through. "
"81",134,"learn05","far-first","2020_01_11","15_40_04",117719,311179,24,"male","10","2","no comments"
"82",136,"learn02","far-first","2020_01_11","08_41_39",28126,137904,25,"female","7","4",""
"83",137,"learn01","far-first","2020_01_11","09_46_31",184642,468356,43,"female","9","7",""
"84",138,"learn01","far-first","2020_01_11","14_46_48",280152,160549,28,"male","8","8","nothing"
"85",140,"learn05","far-first","2020_01_11","09_52_19",169772,179663,64,"male","5","1","no"
"86",141,"learn04","far-first","2020_01_11","09_53_41",330060,269912,42,"male","5","3",""
"87",142,"learn03","far-first","2020_01_11","06_55_26",289253,210221,32,"male","10","5","nice and interesting "
"88",143,"learn03","far-first","2020_01_11","09_59_06",181585,251455,48,"female","10","6","none"
"89",144,"learn05","far-first","2020_01_11","10_02_39",95219,182308,37,"male","4","3",""
"90",145,"learn04","far-first","2020_01_11","10_49_21",194301,204309,53,"male","10","5","no"
"91",146,"learn02","far-first","2020_01_11","10_07_53",62461,288743,39,"male","7","3","No."
"92",147,"learn04","far-first","2020_01_11","11_14_06",961822,1310659,41,"male","10","10",""
"93",148,"learn01","far-first","2020_01_11","08_31_24",141740,179970,38,"male","7","3",""
"94",149,"learn06","far-first","2020_01_11","10_34_01",587773,739130,40,"female","10","3","None"
"95",150,"learn04","far-first","2020_01_11","12_35_13",128772,361081,45,"female","8","7","No but thank you!"
"96",151,"learn03","far-first","2020_01_11","13_02_01",100468,182061,25,"male","7","6",""
"97",152,"learn01","far-first","2020_01_11","12_13_45",191874,201840,49,"female","4","4","none"
"98",153,"learn02","far-first","2020_01_11","12_25_37",74854,113396,24,"male","10","1",""
"99",154,"learn01","far-first","2020_01_11","14_07_42",286230,285730,65,"male","10","2","none"
"100",155,"learn04","far-first","2020_01_11","14_07_42",103704,179451,34,"noresponse","7","5","No"
"101",156,"learn03","far-first","2020_01_11","11_35_48",401994,363138,54,"male","8","4","no comments"
"102",158,"learn04","far-first","2020_01_11","19_51_47",183079,267655,32,"male","6","8",""
"103",159,"learn06","far-first","2020_01_11","18_38_21",378916,531000,28,"male","9","7","it is interesting to see how the normal stones changes."
"104",160,"learn06","far-first","2020_01_12","12_36_54",114506,293640,30,"male","8","6",""
"105",161,"learn02","far-first","2020_01_12","09_38_03",90837,286805,45,"female","8","6","I enjoyed the experiment."
"106",162,"learn01","far-first","2020_01_12","09_43_54",159393,268090,54,"female","10","2","No, thank you"
"107",163,"learn03","far-first","2020_01_12","09_43_47",127446,247236,60,"male","9","0","Nope"
"108",164,"learn02","far-first","2020_01_12","12_44_54",107041,321732,56,"female","9","8","It would have been nice to have a few practice rounds first with feedback."
"109",165,"learn02","far-first","2020_01_12","11_45_36",484326,342733,30,"male","10","5","no"
"110",166,"learn02","far-first","2020_01_12","12_47_48",255517,244024,42,"male","8","8",""
"111",168,"learn05","far-first","2020_01_12","12_55_38",123008,311239,37,"female","5","1","No I do not."
"112",169,"learn05","far-first","2020_01_12","12_56_16",120793,144714,36,"female","5","1","No comment."
"113",170,"learn02","far-first","2020_01_12","13_13_51",141674,284653,58,"female","5","7",""
"114",171,"learn06","far-first","2020_01_12","12_33_16",235270,408488,27,"male","8","7","none"
"115",172,"learn05","far-first","2020_01_12","13_48_41",3422681,175704,49,"male","8","4",""
"116",173,"learn02","far-first","2020_01_12","13_48_48",348558,414540,27,"female","5","5","Interesting task"
"117",174,"learn05","far-first","2020_01_12","11_44_08",2411926,227829,29,"male","3","5","No Comments "
"118",175,"learn01","far-first","2020_01_12","16_47_18",254301,214920,32,"male","8","0","Everything went smoothly so far."
"119",176,"learn06","far-first","2020_01_12","17_48_18",405232,556986,28,"female","10","5","I think being forced to rewatch the original effect for every single round confused me on what I was suppose to be doing."
"120",177,"learn01","far-first","2020_01_13","02_08_56",220315,322817,27,"male","7","5","The study ran well!"
